participant,block,trial,effect,order,distance,diag,config_1,config_2,h_1,w_1,h_2,w_2,h_3,w_3,choice,choice_name,rt,correct
10,1,161,filler_random,NA,NA,NA,2.2,2.21,114.72104538780478,168.6094163033469,73.84819569199333,124.67795380706782,94.44639875813445,149.77804289780119,1,NA,3.2502024173736572,1
10,1,162,critical,hwd,45,lower,1,1.2,133,57,57,133,65,65,1,h,2.516151189804077,1
10,1,163,filler_square,NA,NA,NA,4,4.2,77.34202362161352,77.34202362161352,63.99770121742422,66.76331018194414,66.52983186199192,69.64000336547883,1,NA,1.8800921440124512,1
10,1,164,critical,dhw,60,upper,2.1,2.11,100,100,200,125,125,200,3,w,3.564279079437256,1
10,1,165,critical,hwd,60,upper,2.1,2.12,200,125,125,200,100,100,2,w,1.858558177947998,1
10,1,166,critical,whd,45,lower,4,4.1,57,133,133,57,65,65,2,h,1.720729112625122,1
10,1,167,critical,whd,60,upper,2.1,2.12,125,200,200,125,100,100,2,h,2.1551809310913086,1
10,1,168,critical,dwh,60,lower,4,4.1,55,55,57,133,133,57,3,h,1.761875867843628,1
10,1,169,filler_square,NA,NA,NA,4,4.1,77.50241592290774,167.38647286548655,188.17891002955477,188.17891002955477,119.51146889178605,96.63079670741337,2,NA,0.9850764274597168,1
10,1,170,filler_square,NA,NA,NA,1,1.3,101.47617012966583,113.54022395570189,87.52245712535661,120.40735490877543,120.7419830734047,120.7419830734047,3,NA,1.4317066669464111,1
10,1,171,critical,whd,45,upper,2.1,2.11,125,200,200,125,117,117,2,h,1.7119247913360596,1
10,1,172,filler_square,NA,NA,NA,2.1,2.12,87.40237212447241,87.40237212447241,57.36006952999843,85.87460592538139,72.69602141367244,80.71716522714337,1,NA,2.0248162746429443,1
10,1,173,critical,hdw,45,upper,1,1.2,200,125,117,117,125,200,3,w,1.7425439357757568,1
10,1,174,critical,dhw,60,lower,2.1,2.11,55,55,133,57,57,133,2,h,1.5654215812683105,1
10,1,175,critical,whd,60,lower,3,3.2,57,133,133,57,55,55,2,h,1.2060718536376953,1
10,1,176,critical,hdw,60,upper,1,1.2,200,125,100,100,125,200,3,w,2.6674702167510986,1
10,1,177,critical,wdh,60,upper,4,4.1,125,200,100,100,200,125,1,w,2.802184581756592,1
10,1,178,critical,dwh,45,upper,2.1,2.12,117,117,125,200,200,125,3,h,1.4992899894714355,1
10,1,179,filler_square,NA,NA,NA,3,3.1,68.29457535022135,95.50855469190014,143.35773558336206,143.35773558336206,68.50860989937678,104.26913992835912,2,NA,1.12593412399292,1
10,1,180,critical,wdh,45,lower,4,4.2,57,133,65,65,133,57,3,h,1.9841418266296387,1
10,1,181,critical,whd,60,lower,2.1,2.11,57,133,133,57,55,55,2,h,0.8795278072357178,1
10,1,182,critical,hwd,45,lower,4,4.1,133,57,57,133,65,65,1,h,1.4111907482147217,1
10,1,183,filler_random,NA,NA,NA,3,3.2,141.05539438249417,171.90277542097527,92.7794447067426,160.61439789928107,107.75665018556043,158.7211634401997,1,NA,1.5027852058410645,1
10,1,184,critical,wdh,60,upper,2.1,2.11,125,200,100,100,200,125,1,w,1.8487260341644287,1
10,1,185,critical,dhw,60,upper,3,3.1,100,100,200,125,125,200,3,w,1.8326878547668457,1
10,1,186,filler_random,NA,NA,NA,2.2,2.22,185.41440211021666,172.97457909637444,97.53850486169232,143.5515053410448,84.15321819117337,183.02436020324305,1,NA,1.2647733688354492,1
10,1,187,catch,NA,NA,NA,3,3.1,78,112,79,111,126,199,3,NA,1.0513243675231934,1
10,1,188,catch,NA,NA,NA,3,3.1,66,124,79,111,180,145,3,NA,0.9217836856842041,1
10,1,189,filler_square,NA,NA,NA,2.2,2.21,82.75744354075209,74.6942190934639,83.08334483133467,83.08334483133467,61.69773951687347,70.6399338484787,2,NA,2.869361400604248,1
10,1,190,critical,hdw,60,lower,2.1,2.11,133,57,55,55,57,133,1,h,0.8125128746032715,1
10,1,191,critical,whd,45,upper,3,3.1,125,200,200,125,117,117,2,h,1.899904489517212,1
10,1,192,critical,hwd,45,upper,3,3.1,200,125,125,200,117,117,2,w,1.3132386207580566,1
10,1,193,critical,wdh,60,lower,2.1,2.12,57,133,55,55,133,57,3,h,1.0071947574615479,1
10,1,194,critical,hwd,60,lower,4,4.2,133,57,57,133,55,55,1,h,1.7929599285125732,1
10,1,195,critical,dwh,45,upper,1,1.1,117,117,125,200,200,125,2,w,2.4478373527526855,1
10,1,196,critical,dwh,60,upper,2.1,2.11,100,100,125,200,200,125,2,w,1.463559627532959,1
10,1,197,critical,whd,60,upper,2.1,2.12,125,200,200,125,100,100,2,h,1.0964431762695312,1
10,1,198,filler_square,NA,NA,NA,4,4.2,150.08281533878954,150.08281533878954,147.05059551083554,97.0650919573637,75.11460894542591,121.46109144768181,1,NA,1.4448370933532715,1
10,1,199,filler_square,NA,NA,NA,2.1,2.12,79.97400709430102,106.42889820999291,129.35697568815277,129.35697568815277,89.95450131151127,91.47834219094827,2,NA,1.1119439601898193,1
10,1,200,filler_square,NA,NA,NA,3,3.1,104.35174948649436,68.99535748346544,115.33637060201914,115.33637060201914,78.42137619673846,112.9868407950624,2,NA,1.3282809257507324,1
10,1,201,filler_random,NA,NA,NA,1,1.1,160.34825918890158,173.25727533681464,166.0725837469335,136.14189156769493,61.10926612896322,84.7225834031261,2,NA,1.5559470653533936,0
10,1,202,filler_random,NA,NA,NA,2.2,2.22,92.3655603296987,126.6046653440931,150.6405386347423,73.31909912448624,190.691978191151,105.27166927780644,3,NA,1.1775379180908203,1
10,1,203,filler_square,NA,NA,NA,2.1,2.12,62.63953838223753,73.37257050881263,91.64726732652599,91.64726732652599,85.5431777508143,90.81055891260628,2,NA,0.987074613571167,1
10,1,204,critical,wdh,45,upper,1,1.2,125,200,117,117,200,125,3,h,1.2022888660430908,1
10,1,205,critical,hwd,45,upper,1,1.3,200,125,125,200,117,117,2,w,1.4860038757324219,1
